variant,size,ap
E1-noretrain,300,0.5010885845125551
E1-noretrain,600,0.542199080916504
E1-noretrain,1200,0.6013019488001619
E1-noretrain,2500,0.6060789891933483
E1-noretrain,5000,0.5615738775779647
E1-noretrain,10000,0.6058023552006739
E1-retrain,300,0.5233045388356625
E1-retrain,600,0.5574950825287202
E1-retrain,1200,0.6162542388140215
E1-retrain,2500,0.6152112268867507
E1-retrain,5000,0.5709161427797192
E1-retrain,10000,0.6105808870177338
E2-noretrain,300,0.53289622686487
E2-noretrain,600,0.5572073033089759
E2-noretrain,1200,0.6262494818814596
E2-noretrain,2500,0.6177324478306914
E2-noretrain,5000,0.5935739728310804
E2-noretrain,10000,0.6392477085427724
E2-retrain,300,0.5282645951549066
E2-retrain,600,0.554459097424557
E2-retrain,1200,0.6220839785946943
E2-retrain,2500,0.61634389434283
E2-retrain,5000,0.5928330122631015
E2-retrain,10000,0.6409581097525601
